LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS
130,200814,2,1,185,30,275,2,1,1,1,60,400,1,5,3,0.93,39,29,,
130,200814,2,1,215,30,275,2,1,0,1,60,400,1,5,2,31.186,51.758,43.574,,
130,200814,2,2,2,0,125,2,1,1,1,60,800,1,2,9,1.47,1,0,,
130,200814,2,2,32,0,125,2,1,0,1,60,800,1,2,0,0,15,14,,
127,200815,2,1,63,30,375,2,1,0,1,60,600,1,2,0,0.86,15.856,14,,
127,200815,2,1,93,30,375,2,1,1,1,60,600,1,2,0,0,24,23,,
127,200815,2,1,123,30,425,2,1,0,1,60,600,1,2,0,2.258,21.88,13.38,,
127,200815,2,1,153,30,425,2,1,1,1,60,600,1,2,3,0,43,17,,
127,200815,2,1,183,30,500,2,1,0,1,40,600,1,4,0,2.946,16.314,14,,
127,200815,2,1,213,30,500,2,1,1,1,40,600,1,2,2,0,27,7,,
127,200815,2,1,249,30,500,2,1,0,1,20,600,1,2,0,2.698,22.956,17,,
127,200815,2,1,279,30,500,2,1,1,1,20,600,1,2,2,0,27,2,,
127,200815,2,1,312,30,600,2,1,0,1,0,600,1,3,2,14.056,31.552,11.372,,
127,200815,2,1,342,30,600,2,1,1,1,0,600,1,2,3,0,28,13,,
128,200815,2,1,3,30,125,2,1,1,1,20,400,1,5,0,0,27,21,,
128,200815,2,1,33,30,125,2,1,0,1,20,400,1,5,3,1.308,19.356,17.696,,
129,200815,3,1,5,0,50,2,1,0,1,20,600,1,2,3,0.812,32.172,32.706,,
129,200815,3,1,35,30,50,2,1,1,1,20,600,1,2,3,0.2,34,5,,
129,200815,3,1,65,30,60,2,1,0,1,60,600,1,5,0,0,26.304,28.5,,
129,200815,3,1,95,30,60,2,1,1,1,60,600,1,4,2,0,37,28,,
129,200815,3,1,126,0,55,2,1,0,1,60,600,1,5,1,0,51.716,52.92,,
129,200815,3,1,157,30,55,2,1,1,1,60,600,1,5,1,0,48,34,,
129,200815,3,2,3,0,50,2,1,0,1,40,600,1,5,4,0.326,31.77,30.416,,
129,200815,3,2,33,30,50,2,1,1,1,40,600,1,4,0,1.186,35,30,,
129,200815,3,2,63,30,45,2,1,0,1,20,600,1,2,0,0,25,17,,
129,200815,3,2,93,30,45,2,1,1,1,20,600,1,5,0,0.71,45,33,,
129,200815,3,2,128,0,75,2,1,0,1,0,600,1,5,0,0,27.164,29.206,,
129,200815,3,2,158,30,75,2,1,1,1,0,600,1,5,0,0,24,20,,
130,200815,3,1,5,0,300,2,1,1,1,20,600,1,2,4,2.374,27,0,,
130,200815,3,1,35,30,300,2,1,0,1,20,600,1,5,0,1.478,24.002,21.174,,
130,200815,3,1,65,30,300,2,1,1,1,60,600,1,4,0,1.572,22,16,,
130,200815,3,1,95,30,300,2,1,0,1,60,600,1,4,1,1.296,46.302,44.242,,
130,200815,3,1,126,0,275,2,1,1,1,60,600,1,5,3,1.326,42,32,,
130,200815,3,1,157,30,275,2,1,0,1,60,600,1,5,2,0,45,30,,
130,200815,3,2,3,0,175,2,1,1,1,40,600,1,5,0,1.854,41,38,,
130,200815,3,2,33,30,175,2,1,0,1,40,600,1,5,3,0.844,16.582,25.17,,
130,200815,3,2,63,30,45,2,1,1,1,20,600,1,5,1,1.496,46,27,,
130,200815,3,2,93,30,45,2,1,0,1,20,600,1,2,1,0,17,15,,
130,200815,3,2,128,0,75,2,1,1,1,0,600,1,4,0,0.956,53,41,,
130,200815,3,2,158,30,75,2,1,0,1,0,600,1,5,2,2.134,16.182,17.512,,
127,200816,2,1,2,30,700,2,1,0,1,0,600,1,5,0,0.662,21.406,13.818,,
127,200816,2,1,32,30,700,2,1,1,1,0,600,1,3,3,0.288,39,13,,
127,200816,2,1,62,30,600,2,1,0,1,40,600,1,3,0,0.84,28.088,18.89,,
127,200816,2,1,92,30,600,2,1,1,1,40,600,1,1,0,0.424,54,13,,
127,200816,2,1,123,0,600,2,1,0,1,20,600,1,2,0,15.326,19.476,3.286,,
127,200816,2,1,153,0,600,2,1,1,1,20,600,1,1,0,0.736,37,18,,
128,200816,2,1,2,30,175,2,1,1,1,0,400,1,5,1,1.28,41,26,,
128,200816,2,1,32,30,175,2,1,0,1,0,400,1,5,1,1.822,41.168,34.29,,
128,200816,2,2,2,0,400,2,1,1,1,60,400,1,5,2,1.822,34,28,,
128,200816,2,2,32,30,400,2,1,0,1,60,400,1,5,2,1.496,29.146,29.34,,
128,200816,2,2,62,30,350,2,1,1,1,20,400,1,5,2,0,33,31,,
128,200816,2,2,93,30,350,2,1,0,1,20,400,1,5,0,2.61,35.132,32.85,,
129,200816,3,1,2,30,50,2,1,0,1,0,600,1,5,3,1.8,40.556,37,,
129,200816,3,1,32,30,50,2,1,1,1,0,600,1,5,0,0,40,40,,
129,200816,3,1,62,30,45,2,1,0,1,40,600,1,5,0,0,43.558,40.73,,
129,200816,3,1,92,30,45,2,1,1,1,40,600,1,5,0,0,47,29,,
129,200816,3,1,125,30,40,2,1,0,1,20,600,1,5,0,0,47.506,48.854,,
129,200816,3,1,155,30,40,2,1,1,1,20,600,1,5,0,0,47,38,,
130,200816,3,1,2,30,300,2,1,1,1,0,600,1,2,2,1.578,23,6,,
130,200816,3,1,32,30,300,2,1,0,1,0,600,1,4,5,1.714,30.712,8.538,,
130,200816,3,1,62,30,275,2,1,1,1,40,600,1,5,7,1.01,31,21,,
130,200816,3,1,92,30,275,2,1,0,1,40,600,1,5,2,1.584,30.598,22.204,,
130,200816,3,1,125,30,200,2,1,1,1,20,600,1,5,1,0.994,59,32,,
130,200816,3,1,155,30,200,2,1,0,1,20,600,1,5,1,1.114,32.158,19.77,,
130,200816,3,1,189,0,150,2,1,1,1,60,600,1,5,2,1.376,69,36,,
130,200816,3,1,219,30,150,2,1,0,1,60,600,1,5,0,2.098,18.048,15.412,,
127,200818,2,1,1,30,450,2,1,0,1,40,600,1,2,0,1.506,23.51,20,,
127,200818,2,1,31,0,450,2,1,1,1,40,600,1,1,0,0,22,11,,
127,200818,2,1,61,0,450,2,1,0,1,0,600,1,3,0,0,26.948,11.11,,
127,200818,2,1,91,0,450,2,1,1,1,0,600,1,1,1,0,25,7,,
127,200818,2,1,121,30,450,2,1,0,1,0,600,1,3,0,1.852,23.856,13.848,,
127,200818,2,1,151,30,450,2,1,1,1,0,600,1,1,0,53.906,10,0,,
127,200818,2,1,184,30,450,2,1,0,1,40,600,1,1,0,1.348,25.248,4.43,,
127,200818,2,1,213,30,450,2,1,1,1,40,600,1,1,1,47.886,20,2,,
128,200818,2,1,1,30,175,2,1,1,1,40,400,1,5,2,0.556,9,7,,
128,200818,2,1,31,0,175,2,1,0,1,40,400,1,5,3,0.382,25.686,28.462,,
128,200818,2,1,61,0,150,2,1,1,1,0,400,1,5,2,0.49,36,11,,
128,200818,2,1,91,0,150,2,1,0,1,0,400,1,5,4,0,45.268,43.572,,
128,200818,2,1,121,30,150,2,1,1,1,0,400,1,5,3,0.022,19,4,,
128,200818,2,1,151,30,150,2,1,0,1,0,400,1,5,2,0.308,28.346,28.312,,
128,200818,2,1,184,30,150,2,1,1,1,40,400,1,4,1,0.746,41,14,,
128,200818,2,1,213,30,150,2,1,0,1,40,400,1,5,1,0.154,30.088,29.798,,
129,200818,3,1,2,0,45,2,1,0,1,40,400,1,2,3,0.368,36.038,38.358,,
129,200818,3,1,33,0,45,2,1,1,1,40,400,1,2,0,0.666,5,0,,
129,200818,3,1,72,0,50,2,1,0,1,0,400,1,4,3,0,23.144,9.262,,
129,200818,3,1,102,0,50,2,1,1,1,0,400,1,5,2,0.166,40,8,,
129,200818,3,1,132,0,50,2,1,0,1,0,600,1,5,1,0,30.322,29.046,,
129,200818,3,1,162,0,50,2,1,1,1,0,600,1,5,0,0.19,44,42,,
129,200818,3,1,192,0,45,2,1,0,1,40,600,1,5,0,0.736,50.876,41.22,,
129,200818,3,1,222,0,45,2,1,1,1,40,600,1,5,0,0.188,50,38,,
129,200818,3,1,252,0,40,2,1,0,1,20,600,1,5,0,1.122,36.762,36.786,,
129,200818,3,1,282,0,40,2,1,1,1,20,600,1,5,0,0.854,35,32,,
129,200818,3,1,312,0,35,2,1,0,1,60,600,1,5,0,0.182,38,31.59,,
129,200818,3,1,342,0,35,2,1,1,1,60,600,1,4,0,3.05,49,41,,
130,200818,3,1,2,0,150,2,1,1,1,40,400,1,0,0,0,9,0,,
130,200818,3,1,33,0,150,2,1,0,1,40,400,1,2,4,3.254,26.284,13,,
130,200818,3,1,72,0,175,2,1,1,1,0,400,1,4,5,1.012,28,9,,
130,200818,3,1,102,0,175,2,1,0,1,0,400,1,5,3,2.042,33.338,19,,
130,200818,3,1,132,0,175,2,1,1,1,0,600,1,5,4,0.898,24,20,,
130,200818,3,1,162,0,175,2,1,0,1,0,600,1,5,3,1.986,44,42,,
130,200818,3,1,192,0,150,2,1,1,1,40,600,1,5,3,1.636,56,7,,
130,200818,3,1,222,0,150,2,1,0,1,40,600,1,5,1,0.828,10.46,7.538,,
130,200818,3,1,252,0,125,2,1,1,1,20,600,1,5,1,1.77,26,12,,
130,200818,3,1,282,0,125,2,1,0,1,20,600,1,5,2,3.038,27.412,25.476,,
130,200818,3,1,312,0,100,2,1,1,1,60,600,1,2,0,1.932,29,0,,
130,200818,3,1,342,0,100,2,1,0,1,60,600,1,2,2,8.74,17,16,,
